insee	osm	geonames	wikidata	wikipedia	databnf	viaf	siaf	inha
01001	142240	3011116	Q204388	https://fr.wikipedia.org/wiki/L%27Abergement-Cl%C3%A9menciat	ark:/12148/cb15242746r	239229734		
01002	147124	6618080	Q208567	https://fr.wikipedia.org/wiki/L%27Abergement-de-Varey	ark:/12148/cb152427473	235704396	18327521	
01003		3037965	Q13101509	https://fr.wikipedia.org/wiki/Amareins				
01004	145704	3037943	Q192166	https://fr.wikipedia.org/wiki/Amb%C3%A9rieu-en-Bugey	ark:/12148/cb15242749s	131383672	131242413	ark:/54721/6b32f433-8b5b-4823-a6fd-c2ef777e8b79
01005	148821	6452069	Q204177	https://fr.wikipedia.org/wiki/Amb%C3%A9rieux-en-Dombes	ark:/12148/cb152427500	260973566		
01006	146573	3037918	Q193812	https://fr.wikipedia.org/wiki/Ambl%C3%A9on	ark:/12148/cb15242751b		18304500	
01007	145615	3037884	Q193533	https://fr.wikipedia.org/wiki/Ambronay	ark:/12148/cb15242752p	136056522	18371606	ark:/54721/66fe5bd5-b85f-4cfd-a41e-4ff440bbf4c8
01008	146765	6452072	Q10290	https://fr.wikipedia.org/wiki/Ambutrix	ark:/12148/cb152427531			
01009	146651	3037724	Q204167	https://fr.wikipedia.org/wiki/Andert-et-Condon	ark:/12148/cb15242754c		18398618	
01010	75651	6446361	Q193996	https://fr.wikipedia.org/wiki/Anglefort	ark:/12148/cb15242755q			
01011	23784	6618077	Q202829	https://fr.wikipedia.org/wiki/Apremont_(Ain)	ark:/12148/cb152427562			
01012	145639	3037330	Q194006	https://fr.wikipedia.org/wiki/Aranc	ark:/12148/cb15242757d		18289973	
01013	147346	6446364	Q211635	https://fr.wikipedia.org/wiki/Arandas	ark:/12148/cb15242758r			
01014	21557	3037303	Q209048	https://fr.wikipedia.org/wiki/Arbent	ark:/12148/cb152427593	164365485	18339872	
01015	5756891				ark:/12148/cb152427609			
01016	139139	6446367	Q208570	https://fr.wikipedia.org/wiki/Arbigny	ark:/12148/cb15242761n			
01017	148030	6446368	Q208431	https://fr.wikipedia.org/wiki/Argis	ark:/12148/cb152427620			
01018		3036930	Q57052795	https://fr.wikipedia.org/wiki/Arlod				
01019	146706	6446369	Q194167	https://fr.wikipedia.org/wiki/Armix	ark:/12148/cb15242764p	248319846		
01020		3036871	Q52384569	https://fr.wikipedia.org/wiki/Arnans			169191177	
01021	145686	3036712	Q206665	https://fr.wikipedia.org/wiki/Ars-sur-Formans	ark:/12148/cb152427651	141163407	18319574	
01022	147866	3036697	Q193994	https://fr.wikipedia.org/wiki/Artemare	ark:/12148/cb15242766c	157229429	18321134	
01023	138967	6446372	Q208564	https://fr.wikipedia.org/wiki/Asni%C3%A8res-sur-Sa%C3%B4ne	ark:/12148/cb15242767q			
01024	139526	6454897	Q209070	https://fr.wikipedia.org/wiki/Attignat	ark:/12148/cb152427682			
01025	7793749				ark:/12148/cb15242769d			ark:/54721/61e175c5-5be4-4f99-99b6-74d5a341f418
01026	139510	6446374	Q202455	https://fr.wikipedia.org/wiki/B%C3%A2g%C3%A9-le-Ch%C3%A2tel	ark:/12148/cb15242770m	133825219		
01027	149315	6446375	Q241523	https://fr.wikipedia.org/wiki/Balan_(Ain)	ark:/12148/cb15242771z			
01028	142161	6446376	Q210902	https://fr.wikipedia.org/wiki/Baneins	ark:/12148/cb152427729			
01029	138994	6446377	Q237453	https://fr.wikipedia.org/wiki/Beaupont	ark:/12148/cb15242773n			
01030	145703	6615615	Q838505	https://fr.wikipedia.org/wiki/Beauregard_(Ain)	ark:/12148/cb152427740			
01031	36209	3033619	Q210917	https://fr.wikipedia.org/wiki/Bellignat	ark:/12148/cb15242775b	150294429	18401275	
01032	149288	6446379	Q211116	https://fr.wikipedia.org/wiki/B%C3%A9ligneux	ark:/12148/cb15242776p			
01033	148542				ark:/12148/cb152427771			
01034	146650	3033625	Q188496	https://fr.wikipedia.org/wiki/Belley	ark:/12148/cb15242778c	238372672	18298035	ark:/54721/423946f8-6c89-4966-8506-c60000eb0d42
01035	30232	6446382	Q211712	https://fr.wikipedia.org/wiki/Belleydoux	ark:/12148/cb15242779q			
01036	147348				ark:/12148/cb15242780x			ark:/54721/44979450-7fce-4571-9fec-e15d8ebbbe90
01037	146773	6446383	Q210920	https://fr.wikipedia.org/wiki/B%C3%A9nonces	ark:/12148/cb152427818	141009550		
01038	139251	6446384	Q213397	https://fr.wikipedia.org/wiki/B%C3%A9ny	ark:/12148/cb15242782m			
01039	147858	6446385	Q210939	https://fr.wikipedia.org/wiki/B%C3%A9on_(Ain)	ark:/12148/cb15242783z			
01040	139161	6446386	Q838522	https://fr.wikipedia.org/wiki/B%C3%A9r%C3%A9ziat	ark:/12148/cb152427849			
01041	146766	6446387	Q206673	https://fr.wikipedia.org/wiki/Bettant	ark:/12148/cb15242785n	239525894		
01042	140255	6424452	Q838488	https://fr.wikipedia.org/wiki/Bey_(Ain)	ark:/12148/cb152427860			
01043	149565	6454898	Q10235	https://fr.wikipedia.org/wiki/Beynost	ark:/12148/cb15242787b			
01044	145494	6446388	Q209058	https://fr.wikipedia.org/wiki/Billiat	ark:/12148/cb15242788p	130514743		
01045	147999	6446389	Q838480	https://fr.wikipedia.org/wiki/Birieux	ark:/12148/cb152427891			
01046	140029	6446390	Q210930	https://fr.wikipedia.org/wiki/Biziat	ark:/12148/cb152427907			
01047	146708	6446391	Q838485	https://fr.wikipedia.org/wiki/Blyes	ark:/12148/cb15242791k			
01048			Q52147692	https://fr.wikipedia.org/wiki/Bohas				
01049	149566	3011008	Q212591	https://fr.wikipedia.org/wiki/La_Boisse	ark:/12148/cb152427938	159536611	18321073	
01050	138979	6446392	Q838510	https://fr.wikipedia.org/wiki/Boissey_(Ain)	ark:/12148/cb15242794m			
01051	142544	3031860	Q213404	https://fr.wikipedia.org/wiki/Bolozon	ark:/12148/cb15242795z		18338164	
01052	145614	6446394	Q213389	https://fr.wikipedia.org/wiki/Bouligneux	ark:/12148/cb152427969	240104856		
01053	140253	6446395	Q133069	https://fr.wikipedia.org/wiki/Bourg-en-Bresse	ark:/12148/cb15242797n	133234388		ark:/54721/d06b7d34-2101-4175-8f45-337092018d3f
01054	149269	6446396	Q838496	https://fr.wikipedia.org/wiki/Bourg-Saint-Christophe	ark:/12148/cb152427980			
01055		3030734	Q55072041	https://fr.wikipedia.org/wiki/Bouvent				
01056	145571	6446397	Q658686	https://fr.wikipedia.org/wiki/Boyeux-Saint-J%C3%A9r%C3%B4me	ark:/12148/cb15242800q		18370510	
01057	138962	6446398	Q598434	https://fr.wikipedia.org/wiki/Boz	ark:/12148/cb152428012			ark:/54721/effee051-0a8c-41a8-8f04-b2febce7d06c
01058	145870	3030411	Q211651	https://fr.wikipedia.org/wiki/Br%C3%A9gnier-Cordon	ark:/12148/cb15242802d		18299277	
01059	147869	6454899	Q212602	https://fr.wikipedia.org/wiki/Br%C3%A9naz	ark:/12148/cb15242803r			
01060	142223	3030343	Q207453	https://fr.wikipedia.org/wiki/Br%C3%A9nod	ark:/12148/cb152428043	243081662	18402993	
01061	146597	6615617	Q211128	https://fr.wikipedia.org/wiki/Brens_(Ain)	ark:/12148/cb15242805f	250911438		
01062	149289	6446401	Q838714	https://fr.wikipedia.org/wiki/Bressolles_(Ain)	ark:/12148/cb15242806s			
01063	140522	6615618	Q241533	https://fr.wikipedia.org/wiki/Brion_(Ain)	ark:/12148/cb152428074			
01064	146643	6454900	Q211706	https://fr.wikipedia.org/wiki/Briord	ark:/12148/cb15242808g	309582656		
01065	140123	3029654	Q838492	https://fr.wikipedia.org/wiki/Buellas	ark:/12148/cb15242809t		18361734	
01066	146918	6456643	Q616098	https://fr.wikipedia.org/wiki/La_Burbanche	ark:/12148/cb152428101			
01067	142153	3028018	Q838365	https://fr.wikipedia.org/wiki/Ceignes	ark:/12148/cb15242811c		18403308	
01068	145505	6454901	Q243107	https://fr.wikipedia.org/wiki/Cerdon_(Ain)	ark:/12148/cb15242812q			
01069	142146	6446404	Q212905	https://fr.wikipedia.org/wiki/Certines	ark:/12148/cb152428132			
01070		3027785	Q47345995	https://fr.wikipedia.org/wiki/Cesseins				
01071	139261	3027765	Q236690	https://fr.wikipedia.org/wiki/Cessy	ark:/12148/cb15242815r		18394984	
01072	140326	3027740	Q210104	https://fr.wikipedia.org/wiki/Ceyz%C3%A9riat	ark:/12148/cb152428163	237427874	18342924	ark:/54721/f348abd6-6ca2-456a-90cf-a28b841a7aa2
01073	103775	6446407	Q212615	https://fr.wikipedia.org/wiki/Ceyz%C3%A9rieu	ark:/12148/cb15242817f			ark:/54721/6b5f27fc-6796-40be-ae42-0743a1e9cec5
01074	145588	6446408	Q209072	https://fr.wikipedia.org/wiki/Chalamont	ark:/12148/cb15242818s	233758891		
01075	145568	6446409	Q838340	https://fr.wikipedia.org/wiki/Chaleins	ark:/12148/cb152428194			
01076	147996	6446410	Q633718	https://fr.wikipedia.org/wiki/Chaley	ark:/12148/cb15242820b			
01077	142155	6454902	Q838343	https://fr.wikipedia.org/wiki/Challes-la-Montagne	ark:/12148/cb15242821p			
01078	140514	6446411	Q236685	https://fr.wikipedia.org/wiki/Challex	ark:/12148/cb152428221			
01079	148006	6618076	Q206553	https://fr.wikipedia.org/wiki/Champagne-en-Valromey	ark:/12148/cb15242823c	138389580		ark:/54721/18a87ccf-91cc-418f-8fc8-7fce418c43f7
01080	5756895				ark:/12148/cb15242824q			
01081	140032	3027145	Q210935	https://fr.wikipedia.org/wiki/Champfromier	ark:/12148/cb152428252	244780969	18312838	
01082	145640	6446414	Q210908	https://fr.wikipedia.org/wiki/Chanay	ark:/12148/cb15242826d			
01083	145099	6446415	Q838567	https://fr.wikipedia.org/wiki/Chaneins	ark:/12148/cb15242827r			
