abbr	date	bibl	gallica_ark	gallica_page-1	gallica_IIIF-availability
DT01	1911	Philipon (Édouard), <i>Dictionnaire topographique du département de l’Ain</i>, Paris, 1911.	ark:/12148/bpt6k367437	f89.image	0
DT02	1871	Matton (Auguste), <i>Dictionnaire topographique du département de l’Aisne</i>, Paris, 1871.	ark:/12148/bpt6k39289w	f46.image	1
DT05	1884	Roman (Joseph), <i>Dictionnaire topographique du département des Hautes-Alpes</i>, Paris, 1884.	ark:/12148/bpt6k392903	f79.image	1
DT10	1874	Boutiot (Théophile) et Socard (Émile), <i>Dictionnaire topographique du département de l’Aube</i>, Paris, 1874.	ark:/12148/bpt6k39291f	f74.image	1
DT11	1912	Sabarthès (Antoine), <i>Dictionnaire topographique du département de l’Aude</i>, Paris, 1912.	ark:/12148/bpt6k110095d	f93.image	1
DT14	1883	Hippeau (Célestin), <i>Dictionnaire topographique du département du Calvados</i>, Paris, 1883.	ark:/12148/bpt6k2064144	f60.image	1
DT15	1897	Amé (Émile), <i>Dictionnaire topographique du département du Cantal</i>, Paris, 1897.	ark:/12148/bpt6k110093n	f60.image	1
DT18	1926	Boyer (Hippolyte) et Latouche (Robert), <i>Dictionnaire topographique du département du Cher</i>, Paris, 1926.	ark:/12148/bpt6k65611244	f45.image	1
DT21	1924	Roserot (Alphonse), <i>Dictionnaire topographique du département de la Côte-d’Or</i>, Paris, 1924.	ark:/12148/bpt6k1100941	f118.image	1
DT24	1873	Gourgues (Alexis de), <i>Dictionnaire topographique du département de la Dordogne</i>, Paris, 1873.	ark:/12148/bpt6k39292s	f94.image	1
DT26	1891	Brun-Durand (Justin), <i>Dictionnaire topographique du département de la Drôme</i>, Paris, 1891.	ark:/12148/bpt6k392934	f87.image	1
DT27	1877	Blosseville (Ernest Poret de), <i>Dictionnaire topographique du département de l’Eure</i>, Paris, 1877.	ark:/12148/bpt6k39294g	f47.image	1
DT28	1861	Merlet (Lucien), <i>Dictionnaire topographique du département de l’Eure-et-Loir</i>, Paris, 1861.	ark:/12148/bpt6k36741j	f27.image	0
DT30	1868	Germer-Durand (Eugène), <i>Dictionnaire topographique du département du Gard</i>, Paris, 1868.	ark:/12148/bpt6k39295t	f43.image	1
DT34	1865	Thomas (Eugène), <i>Dictionnaire topographique du département de l’Hérault</i>, Paris, 1865.	ark:/12148/bpt6k110096s	f35.image	1
DT42	1946	Dufour (Jean-E.), <i>Dictionnaire topographique du Forez et des paroisses du Lyonnais et du Beaujolais formant le département de la Loire</i>, Mâcon, 1946.			
