dt_id	abbr	bibl	bnf_catalogue_ark	gallica_ark	gallica_page_one	gallica_IIIF_availability
DT01	Dictionnaire topographique de l’Ain	Philipon (Édouard), <i>Dictionnaire topographique du département de l’Ain</i>, Paris, 1911.	ark:/12148/cb31100532p	ark:/12148/bpt6k367437	f89.image	0
DT02	Dictionnaire topographique de l’Aisne	Matton (Auguste), <i>Dictionnaire topographique du département de l’Aisne</i>, Paris, 1871.	ark:/12148/cb364807203	ark:/12148/bpt6k39289w	f46.image	1
DT05	Dictionnaire topographique des Hautes-Alpes	Roman (Joseph), <i>Dictionnaire topographique du département des Hautes-Alpes</i>, Paris, 1884.	ark:/12148/cb34105263r	ark:/12148/bpt6k392903	f79.image	1
DT07	Dictionnaire topographique de l’Ardèche	Charrié (Pierre), <i>Dictionnaire topographique du département de l’Ardèche</i>, Paris, 1979.	ark:/12148/cb346280578
DT10	Dictionnaire topographique de l’Aube	Boutiot (Théophile) et Socard (Émile), <i>Dictionnaire topographique du département de l’Aube</i>, Paris, 1874.	ark:/12148/cb313802216	ark:/12148/bpt6k39291f	f74.image	1
DT11	Dictionnaire topographique de l’Aude	Sabarthès (Antoine), <i>Dictionnaire topographique du département de l’Aude</i>, Paris, 1912.	ark:/12148/cb312735848	ark:/12148/bpt6k110095d	f93.image	1
DT14	Dictionnaire topographique du Calvados	Hippeau (Célestin), <i>Dictionnaire topographique du département du Calvados</i>, Paris, 1883.	ark:/12148/cb306062321	ark:/12148/bpt6k2064144	f60.image	1
DT15	Dictionnaire topographique du Cantal	Amé (Émile), <i>Dictionnaire topographique du département du Cantal</i>, Paris, 1897.	ark:/12148/cb34105630w	ark:/12148/bpt6k110093n	f60.image	1
DT18	Dictionnaire topographique du Cher	Boyer (Hippolyte) et Latouche (Robert), <i>Dictionnaire topographique du département du Cher</i>, Paris, 1926.	ark:/12148/cb31862797r	ark:/12148/bpt6k65611244	f45.image	1
DT21	Dictionnaire topographique de la Côte-d’Or	Roserot (Alphonse), <i>Dictionnaire topographique du département de la Côte-d’Or</i>, Paris, 1924.	ark:/12148/cb312468350	ark:/12148/bpt6k1100941	f118.image	1
DT23	Dictionnaire topographique de la Creuse	Hemmer (Henri), <i>Dictionnaire topographique du département de la Creuse</i>, dactyl., archives départementales de la Creuse.
DT24	Dictionnaire topographique de la Dordogne	Gourgues (Alexis de), <i>Dictionnaire topographique du département de la Dordogne</i>, Paris, 1873.	ark:/12148/cb30528934c	ark:/12148/bpt6k39292s	f94.image	1
DT26	Dictionnaire topographique de la Drôme	Brun-Durand (Justin), <i>Dictionnaire topographique du département de la Drôme</i>, Paris, 1891.	ark:/12148/cb37374244f	ark:/12148/bpt6k392934	f87.image	1
DT27	Dictionnaire topographique de l’Eure	Poret de Blosseville (Ernest), <i>Dictionnaire topographique du département de l’Eure</i>, Paris, 1877.	ark:/12148/cb341061313	ark:/12148/bpt6k39294g	f47.image	1
DT28	Dictionnaire topographique d’Eure-et-Loir	Merlet (Lucien), <i>Dictionnaire topographique du département d’Eure-et-Loir</i>, Paris, 1861.	ark:/12148/cb309310808	ark:/12148/bpt6k36741j	f27.image	0
DT30	Dictionnaire topographique du Gard	Germer-Durand (Eugène), <i>Dictionnaire topographique du département du Gard</i>, Paris, 1868.	ark:/12148/cb305009341	ark:/12148/bpt6k39295t	f43.image	1
DT34	Dictionnaire topographique de l’Hérault	Thomas (Eugène), <i>Dictionnaire topographique du département de l’Hérault</i>, Paris, 1865.	ark:/12148/cb31460328n	ark:/12148/bpt6k110096s	f35.image	1
DT41	Noms des communes de Loir-et-Cher	Villette (Guy), « L’origine des noms des communes de Loir-et-Cher », dans <i>Hommage à Guy Villette. Quelques études toponymiques et historiques</i>, éd. Marianne Mulon et Gérard Taverdet, s.l., 1992, p. 135-196.	ark:/12148/cb35612273j
DT42	Dictionnaire topographique de la Loire	Dufour (Jean-Édouard), <i>Dictionnaire topographique du Forez et des paroisses du Lyonnais et du Beaujolais formant le département de la Loire</i>, Mâcon, 1946.	ark:/12148/cb34198540h
DT43	Dictionnaire topographique de la Haute-Loire	Chassaing (Augustin) et Jacotin (Antoine), <i>Dictionnaire topographique du département de la Haute-Loire</i>, Paris, 1907.	ark:/12148/cb31933343h	ark:/12148/bpt6k392965	f50.image	1
DT44	Dictionnaire topographique de la Loire-Inférieure	Quilgars (Henri), <i>Dictionnaire topographique du département de la Loire-Inférieure</i>, Nantes, 1906.	ark:/12148/cb311642322
DT51	Dictionnaire topographique de la Marne	Longnon (Auguste), <i>Dictionnaire topographique du département de la Marne</i>, Paris, 1891.	ark:/12148/cb373712421	ark:/12148/bpt6k39298v	f95.image	1
DT52	Dictionnaire topographique de la Haute-Marne	Roserot (Alphonse), <i>Dictionnaire topographique du département de la Haute-Marne</i>, Paris, 1903.	ark:/12148/cb31246836b	ark:/12148/bpt6k39297h	f67.image	1
DT54	Dictionnaire topographique de la Meurthe	Lepage (Henri), <i>Dictionnaire topographique du département de la Meurthe</i>, Paris, 1862.	ark:/12148/cb30793735r	ark:/12148/bpt6k96349681	f39.image	1
DT55	Dictionnaire topographique de la Meuse	Liénard (Félix), <i>Dictionnaire topographique du département de la Meuse</i>, Paris, 1872.	ark:/12148/cb30818141r	ark:/12148/bpt6k392996	f50.image	1
DT56	Dictionnaire topographique du Morbihan	Rosenzweig (Louis), <i>Dictionnaire topographique du département du Morbihan</i>, Paris, 1870.	ark:/12148/cb312467618	ark:/12148/bpt6k39300k	f55.image	1
DT57	Dictionnaire topographique de la Moselle	Bouteiller (Ernest de), <i>Dictionnaire topographique du département de la Moselle</i>, Paris, 1874.	ark:/12148/cb301493549	ark:/12148/bpt6k39301x	f63.image	1
DT58	Dictionnaire topographique de la Nièvre	Soultrait (Georges de), <i>Dictionnaire topographique du département de la Nièvre</i>, Paris, 1865.	ark:/12148/cb313891155	ark:/12148/bpt6k61272v	f17.image	1
DT60	Dictionnaire topographique de l’Oise	Lambert (Émile), <i>Dictionnaire topographique du département de l’Oise</i>, Amiens, 1982.	ark:/12148/cb34718816v
