REGION	DEP	AR	CHEFLIEU	TNCC	ARTMAJ	NCC	ARTMIN	NCCENR
84	01	1	01034	0		BELLEY		Belley
84	01	2	01053	0		BOURG-EN-BRESSE		Bourg-en-Bresse
84	01	3	01173	0		GEX		Gex
84	01	4	01269	0		NANTUA		Nantua
32	02	1	02168	0		CHATEAU-THIERRY		Château-Thierry
32	02	2	02408	0		LAON		Laon
32	02	3	02691	0		SAINT-QUENTIN		Saint-Quentin
32	02	4	02722	0		SOISSONS		Soissons
32	02	5	02789	0		VERVINS		Vervins
84	03	1	03185	0		MONTLUCON		Montluçon
84	03	2	03190	0		MOULINS		Moulins
84	03	3	03310	0		VICHY		Vichy
93	04	1	04019	0		BARCELONNETTE		Barcelonnette
93	04	2	04039	0		CASTELLANE		Castellane
93	04	3	04070	0		DIGNE-LES-BAINS		Digne-les-Bains
93	04	4	04088	0		FORCALQUIER		Forcalquier
93	05	1	05023	0		BRIANCON		Briançon
93	05	2	05061	0		GAP		Gap
93	06	1	06069	0		GRASSE		Grasse
93	06	2	06088	0		NICE		Nice
84	07	1	07132	0		LARGENTIERE		Largentière
84	07	2	07186	0		PRIVAS		Privas
84	07	3	07324	0		TOURNON-SUR-RHONE		Tournon-sur-Rhône
44	08	1	08105	0		CHARLEVILLE-MEZIERES		Charleville-Mézières
44	08	2	08362	0		RETHEL		Rethel
44	08	3	08409	0		SEDAN		Sedan
44	08	4	08490	0		VOUZIERS		Vouziers
76	09	1	09122	0		FOIX		Foix
76	09	2	09225	0		PAMIERS		Pamiers
76	09	3	09261	0		SAINT-GIRONS		Saint-Girons
44	10	1	10033	0		BAR-SUR-AUBE		Bar-sur-Aube
44	10	2	10268	0		NOGENT-SUR-SEINE		Nogent-sur-Seine
44	10	3	10387	0		TROYES		Troyes
76	11	1	11069	0		CARCASSONNE		Carcassonne
76	11	2	11206	0		LIMOUX		Limoux
76	11	3	11262	0		NARBONNE		Narbonne
76	12	1	12145	0		MILLAU		Millau
76	12	2	12202	0		RODEZ		Rodez
76	12	3	12300	0		VILLEFRANCHE-DE-ROUERGUE		Villefranche-de-Rouergue
93	13	1	13001	1		AIX-EN-PROVENCE		Aix-en-Provence
93	13	2	13004	1		ARLES		Arles
93	13	3	13055	0		MARSEILLE		Marseille
93	13	4	13047	1		ISTRES		Istres
28	14	1	14047	0		BAYEUX		Bayeux
28	14	2	14118	0		CAEN		Caen
28	14	3	14366	0		LISIEUX		Lisieux
28	14	4	14762	0		VIRE		Vire
84	15	1	15014	1		AURILLAC		Aurillac
84	15	2	15120	0		MAURIAC		Mauriac
84	15	3	15187	0		SAINT-FLOUR		Saint-Flour
75	16	1	16015	1		ANGOULEME		Angoulême
75	16	2	16102	0		COGNAC		Cognac
75	16	3	16106	0		CONFOLENS		Confolens
75	17	1	17197	0		JONZAC		Jonzac
75	17	2	17299	0		ROCHEFORT		Rochefort
75	17	3	17300	3	(LA)	ROCHELLE	(La)	Rochelle
75	17	4	17415	0		SAINTES		Saintes
75	17	5	17347	0		SAINT-JEAN-D'ANGELY		Saint-Jean-d'Angély
24	18	1	18033	0		BOURGES		Bourges
24	18	2	18197	0		SAINT-AMAND-MONTROND		Saint-Amand-Montrond
24	18	3	18279	0		VIERZON		Vierzon
75	19	1	19031	0		BRIVE-LA-GAILLARDE		Brive-la-Gaillarde
75	19	2	19272	0		TULLE		Tulle
75	19	3	19275	1		USSEL		Ussel
27	21	1	21054	0		BEAUNE		Beaune
27	21	2	21231	0		DIJON		Dijon
27	21	3	21425	0		MONTBARD		Montbard
53	22	1	22050	0		DINAN		Dinan
53	22	2	22070	0		GUINGAMP		Guingamp
53	22	3	22113	0		LANNION		Lannion
53	22	4	22278	0		SAINT-BRIEUC		Saint-Brieuc
75	23	1	23008	1		AUBUSSON		Aubusson
75	23	2	23096	0		GUERET		Guéret
75	24	1	24037	0		BERGERAC		Bergerac
75	24	2	24311	0		NONTRON		Nontron
75	24	3	24322	0		PERIGUEUX		Périgueux
75	24	4	24520	0		SARLAT-LA-CANEDA		Sarlat-la-Canéda
27	25	1	25056	0		BESANCON		Besançon
27	25	2	25388	0		MONTBELIARD		Montbéliard
27	25	3	25462	0		PONTARLIER		Pontarlier
84	26	1	26113	0		DIE		Die
84	26	2	26220	0		NYONS		Nyons
84	26	3	26362	0		VALENCE		Valence
28	27	1	27016	4	(LES)	ANDELYS	(Les)	Andelys
28	27	2	27056	0		BERNAY		Bernay
28	27	3	27229	1		EVREUX		Évreux
24	28	1	28085	0		CHARTRES		Chartres
24	28	2	28088	0		CHATEAUDUN		Châteaudun
24	28	3	28134	0		DREUX		Dreux
24	28	4	28280	0		NOGENT-LE-ROTROU		Nogent-le-Rotrou
53	29	1	29019	0		BREST		Brest
53	29	2	29026	0		CHATEAULIN		Châteaulin
53	29	3	29151	0		MORLAIX		Morlaix
53	29	4	29232	0		QUIMPER		Quimper
94	2A	1	2A004	1		AJACCIO		Ajaccio
94	2A	4	2A272	0		SARTENE		Sartène
94	2B	2	2B033	0		BASTIA		Bastia
94	2B	3	2B096	0		CORTE		Corte
94	2B	5	2B050	0		CALVI		Calvi
76	30	1	30007	1		ALES		Alès
76	30	2	30189	0		NIMES		Nîmes
76	30	3	30350	2	(LE)	VIGAN	(Le)	Vigan
76	31	1	31395	0		MURET		Muret
76	31	2	31483	0		SAINT-GAUDENS		Saint-Gaudens
76	31	3	31555	0		TOULOUSE		Toulouse
76	32	1	32013	1		AUCH		Auch
76	32	2	32107	0		CONDOM		Condom
76	32	3	32256	0		MIRANDE		Mirande
75	33	1	33058	0		BLAYE		Blaye
75	33	2	33063	0		BORDEAUX		Bordeaux
75	33	3	33227	0		LANGON		Langon
75	33	4	33240	0		LESPARRE-MEDOC		Lesparre-Médoc
75	33	5	33243	0		LIBOURNE		Libourne
75	33	6	33009	1		ARCACHON		Arcachon
76	34	1	34032	0		BEZIERS		Béziers
76	34	2	34142	0		LODEVE		Lodève
76	34	3	34172	0		MONTPELLIER		Montpellier
53	35	1	35115	0		FOUGERES-VITRE		Fougères-Vitré
53	35	2	35236	0		REDON		Redon
53	35	3	35238	0		RENNES		Rennes
53	35	4	35288	0		SAINT-MALO		Saint-Malo
24	36	1	36018	2	(LE)	BLANC	(Le)	Blanc
24	36	2	36044	0		CHATEAUROUX		Châteauroux
24	36	3	36046	3	(LA)	CHATRE	(La)	Châtre
24	36	4	36088	1		ISSOUDUN		Issoudun
24	37	1	37072	0		CHINON		Chinon
24	37	2	37261	0		TOURS		Tours
24	37	3	37132	0		LOCHES		Loches
84	38	1	38185	0		GRENOBLE		Grenoble
84	38	2	38509	3	(LA)	TOUR-DU-PIN	(La)	Tour-du-Pin
84	38	3	38544	0		VIENNE		Vienne
27	39	1	39198	0		DOLE		Dole
27	39	2	39300	0		LONS-LE-SAUNIER		Lons-le-Saunier
27	39	3	39478	0		SAINT-CLAUDE		Saint-Claude
75	40	1	40088	0		DAX		Dax
75	40	2	40192	0		MONT-DE-MARSAN		Mont-de-Marsan
24	41	1	41018	0		BLOIS		Blois
24	41	2	41269	0		VENDOME		Vendôme
24	41	3	41194	0		ROMORANTIN-LANTHENAY		Romorantin-Lanthenay
84	42	1	42147	0		MONTBRISON		Montbrison
84	42	2	42187	0		ROANNE		Roanne
84	42	3	42218	0		SAINT-ETIENNE		Saint-Étienne
84	43	1	43040	0		BRIOUDE		Brioude
84	43	2	43157	2	(LE)	PUY-EN-VELAY	(Le)	Puy-en-Velay
84	43	3	43268	1		YSSINGEAUX		Yssingeaux
52	44	2	44109	0		NANTES		Nantes
52	44	3	44184	0		SAINT-NAZAIRE		Saint-Nazaire
52	44	5	44036	0		CHATEAUBRIANT-ANCENIS		Châteaubriant-Ancenis
24	45	1	45208	0		MONTARGIS		Montargis
24	45	2	45234	1		ORLEANS		Orléans
24	45	3	45252	0		PITHIVIERS		Pithiviers
76	46	1	46042	0		CAHORS		Cahors
76	46	2	46102	0		FIGEAC		Figeac
76	46	3	46127	0		GOURDON		Gourdon
75	47	1	47001	1		AGEN		Agen
75	47	2	47157	0		MARMANDE		Marmande
75	47	3	47323	0		VILLENEUVE-SUR-LOT		Villeneuve-sur-Lot
75	47	4	47195	0		NERAC		Nérac
76	48	1	48061	0		FLORAC		Florac
76	48	2	48095	0		MENDE		Mende
52	49	1	49007	1		ANGERS		Angers
52	49	2	49099	0		CHOLET		Cholet
52	49	3	49328	0		SAUMUR		Saumur
52	49	4	49331	0		SEGRE		Segré
28	50	1	50025	1		AVRANCHES		Avranches
28	50	2	50129	0		CHERBOURG		Cherbourg
28	50	3	50147	0		COUTANCES		Coutances
28	50	4	50502	0		SAINT-LO		Saint-Lô
44	51	1	51108	0		CHALONS-EN-CHAMPAGNE		Châlons-en-Champagne
44	51	2	51230	1		EPERNAY		Épernay
44	51	3	51454	0		REIMS		Reims
44	51	4	51649	0		VITRY-LE-FRANCOIS		Vitry-le-François
44	52	1	52121	0		CHAUMONT		Chaumont
44	52	2	52269	0		LANGRES		Langres
44	52	3	52448	0		SAINT-DIZIER		Saint-Dizier
52	53	1	53062	0		CHATEAU-GONTIER		Château-Gontier
52	53	2	53130	0		LAVAL		Laval
52	53	3	53147	0		MAYENNE		Mayenne
44	54	1	54099	0		BRIEY		Briey
44	54	2	54329	0		LUNEVILLE		Lunéville
44	54	3	54395	0		NANCY		Nancy
44	54	4	54528	0		TOUL		Toul
44	55	1	55029	0		BAR-LE-DUC		Bar-le-Duc
44	55	2	55122	0		COMMERCY		Commercy
44	55	3	55545	0		VERDUN		Verdun
53	56	1	56121	0		LORIENT		Lorient
53	56	2	56178	0		PONTIVY		Pontivy
53	56	3	56260	0		VANNES		Vannes
44	57	3	57227	0		FORBACH-BOULAY-MOSELLE		Forbach-Boulay-Moselle
